text,label,send_freq,is_night
下班后我们在超市见面，可以吗？,0,0.3,0
Claim your FREE $50000 gift card! Limited spots. Go to: http://martinez.com/d6fjfmf4zfl Txt STOP to end,1,2.0,0
Reminder: 讨论工作 tomorrow at 21:25:53.,0,1.5,0
今天的工作完成了吗？需要帮忙吗？,0,1.3,0
在吗？我想问一下最近的安排？,0,1.4,1
车子在学校停好了，钥匙我放在书包里了。,0,0.4,0
Can you grab 书包 on your way?,0,1.3,0
恭喜您获得OPPO礼物大奖，请拨打18653365435领取,1,3.4,0
Did you see the 《红楼梦》? What did you think?,0,0.4,0
你昨天说的电脑在哪里买的？,0,0.2,0
今天学习之后，我买了些饺子，你要吗？,0,0.7,0
限时特惠：充值5000元送积分，活动仅剩周二小时！http://reed.cc/oys45,1,2.8,1
我已经到电影院了，你什么时候到？,0,1.4,0
今天旅游之后，我买了些寿司，你要吗？,0,0.3,0
Meeting confirmed for 周三.,0,0.7,0
Invest in 投资 for 17% guaranteed returns! Call 15091955977.,1,3.3,1
Reminder: 学习 tomorrow at 01:18:30.,0,0.4,0
明天的天气预报说会日晒，记得带书包。,0,0.8,0
Let's catch up soon!,0,0.2,1
刚看完《活着》，真的很惊讶！,0,0.3,0
Quick question about the 眼镜 from yesterday.,0,1.1,0
尊敬的会员，您有93积分未使用，即将过期，http://knight.com/o05of9x13kt7查询,1,2.7,0
刚看完《红楼梦》，真的很开心！,0,1.0,0
你昨天说的电脑在哪里买的？,0,0.0,0
Weather forecast for tomorrow: 阴天. Don't forget 雨伞!,0,0.3,0
下午散步的事情安排好了吗？,0,0.9,0
您的美容保险即将到期，续保享特惠，详情咨询13086226529,1,3.7,1
周末一起去公园散步怎么样？,0,1.3,0
Reminder: 讨论工作 tomorrow at 13:11:18.,0,1.1,0
您的祛疤保险即将到期，续保享特惠，详情咨询14549227105,1,4.0,1
明天的天气预报说会日晒，记得带电脑。,0,0.2,0
URGENT! Your 网银 needs verification. Visit https://money365.net/pi4j8 now!,1,1.9,1
感谢你昨天帮我散步，真是太感谢了！,0,0.3,0
你知道Kelli Combs的电话号码是多少吗？,0,0.1,0
Security Alert: Unusual login attempt on your 支付宝 account. Secure here: https://jackpot777.xyz/6zx72,1,3.6,0
我刚才看到你发的书包，真不错！,0,0.4,0
You've won 代金券! Call 881.400.2139 within 周三 hours to claim. Ref:MD5HAO,1,3.3,1
刚看完《西游记》，真的很惊讶！,0,1.3,0
Just arrived at 商场. Where are you?,0,1.4,0
今天周三的会议记得参加。,0,1.0,0
下班后我们在商场见面，可以吗？,0,1.2,0
晚上想吃什么？我提议披萨。,0,1.0,0
明天的天气预报说会阴天，记得带手表。,0,0.0,0
我这边准备好了雨伞，你什么时候来取？,0,0.7,0
下班后我们在学校见面，可以吗？,0,0.1,0
Low stock alert for 智能手表! Get 9% off today only: https://king.com/zkol6s9u6y0dj,1,4.8,1
今天的讨论工作真开心，下次再约！,0,0.2,0
很久不见，最近过得怎么样？,0,0.1,0
下班后我们在商场见面，可以吗？,0,0.5,0
紧急！您的学生证信息需要更新，请访问https://cash111.xyz/8065pf5l23uvb,1,4.0,0
下班后我们在餐厅见面，可以吗？,0,1.1,0
你好，Bobby Pennington！上午我们运动，你有空吗？,0,0.3,0
尊敬的会员，您有20积分未使用，即将过期，http://smith.cc/ekt9t4z查询,1,4.7,1
明天出门记得带钱包，天气预报说会刮风。,0,0.8,0
Can you grab 手机 on your way?,0,0.8,0
今天吃饭之后，我买了些披萨，你要吗？,0,0.8,0
Just arrived at 餐厅. Where are you?,0,0.1,1
我昨天在家里遇到陆璐了！,0,0.5,0
Low stock alert for 电视! Get 2% off today only: https://morgan-atkins.cc/942xa,1,0.5,0
Can you grab 电脑 on your way?,0,0.9,0
You've won 充值卡! Call (204)432-2116 within 下午 hours to claim. Ref:LKKYST,1,3.7,0
孩子的手机你放在哪里了？我找不到。,0,0.2,0
刚才忘了说，吃饭的时间改到周二了。,0,0.1,0
很久不见，最近过得怎么样？,0,0.9,0
限时特惠：充值8000元送现金，活动仅剩周二小时！https://jackpot777.cc/jk6ks3fu,1,1.9,0
紧急！您的护照信息需要更新，请访问https://clark.top/rbr23d5idvq,1,2.2,1
Claim your FREE $80000 gift card! Limited spots. Go to: https://jackson.com/qyc91 Txt STOP to end,1,2.1,0
你知道孙婷婷的电话号码是多少吗？,0,0.7,0
尊敬的会员，您有74积分未使用，即将过期，https://jackpot777.cc/0oszzb查询,1,3.2,0
明天出门记得带手机，天气预报说会下雪。,0,1.1,0
Claim your FREE $20000 gift card! Limited spots. Go to: http://garcia.cc/biacn0 Txt STOP to end,1,4.5,0
Quick question about the 雨伞 from yesterday.,0,0.9,0
在吗？我想问一下上次说的事情？,0,0.4,0
刚看完《红楼梦》，真的很欣慰！,0,1.3,0
车子在电影院停好了，钥匙我放在手表里了。,0,1.2,0
快到端午节了，有什么计划吗？,0,0.6,0
很久不见，最近过得怎么样？,0,0.5,1
您的养生保险即将到期，续保享特惠，详情咨询15666782009,1,2.8,0
今天的工作完成了吗？需要帮忙吗？,0,0.1,0
刚看完《活着》，真的很惊讶！,0,1.5,0
刚才忘了说，看电影的时间改到凌晨了。,0,0.4,0
我昨天在餐厅遇到Bryan Cummings了！,0,0.9,0
感谢你昨天帮我购物，真是太感谢了！,0,0.6,1
刚才忘了说，聚会的时间改到周一了。,0,0.5,0
请问一下上次说的事情？什么时候方便回复我？,0,1.4,0
很久不见，最近过得怎么样？,0,0.9,0
你昨天说的书包在哪里买的？,0,0.8,0
Work From Home Opportunity! Earn $1200/day. Apply now: http://aguilar-crosby.com/21vm3fe0vz9,1,1.2,1
最新平板已到货，前60名购买者享受6折优惠！http://harris.top/rxu96,1,4.8,1
Low stock alert for 平板! Get 9% off today only: https://moore.info/j9wfdjn95fg,1,1.9,0
今天散步之后，我买了些饺子，你要吗？,0,1.5,0
Quick question about the 手表 from yesterday.,0,1.4,0
明天的天气预报说会日晒，记得带眼镜。,0,1.2,0
能帮我带一下钥匙吗？我在公园等你。,0,0.3,0
URGENT! Your 信用卡 needs verification. Visit https://rose.info/ok0xwbvq13j7a now!,1,3.1,0
Can you grab 衣服 on your way?,0,0.6,0
Security Alert: Unusual login attempt on your QQ account. Secure here: http://parker.com/ghkmk,1,0.6,1
